id,record_name,gene_name,subcell_loc
A0A087X1C5,CP2D7_HUMAN,CYP2D7,Membrane<br> Cytoplasm<br> Mitochondrion<br>
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Mitochondrion outer membrane<br>
A0A0B4J2F2,SIK1B_HUMAN,SIK1B,
A0A0C5B5G6,MOTSC_HUMAN,MT-RNR1,Secreted<br> Mitochondrion<br> Nucleus<br> Note=Translocates to the nucleus in response to metabolic stress in an AMPK-dependent manner.<br>
A0A0K2S4Q6,CD3CH_HUMAN,CD300H,<br>[Isoform 1]:<br> Membrane<br><br>[Isoform 2]:<br> Secreted<br>
A0A0U1RRE5,NBDY_HUMAN,NBDY,"Cytoplasm, P-body<br> Note=Localizes to P-bodies at low concentrations without dissociating them.<br>"
A0A1B0GTW7,CIROP_HUMAN,CIROP,Membrane<br>
A0AV02,S12A8_HUMAN,SLC12A8,Membrane<br>
A0AV96,RBM47_HUMAN,RBM47,Nucleus<br> Cytoplasm<br>
A0AVF1,IFT56_HUMAN,IFT56,"Cell projection, cilium<br> Note=Localizes at the base to the ciliary transition zone.<br>"
A0AVI4,TM129_HUMAN,TMEM129,Endoplasmic reticulum membrane<br>
A0AVK6,E2F8_HUMAN,E2F8,Nucleus<br>
A0AVT1,UBA6_HUMAN,UBA6,
A0FGR8,ESYT2_HUMAN,ESYT2,"Cell membrane<br> Endoplasmic reticulum membrane<br> Note=Localizes to endoplasmic reticulum-plasma membrane contact sites (EPCS) (PubMed:29469807, PubMed:23791178, PubMed:30220461, PubMed:27044890). Recruited to the cell membrane via the third C2 domain (PubMed:17360437).<br>"
A0FGR9,ESYT3_HUMAN,ESYT3,"Cell membrane<br> Endoplasmic reticulum membrane<br> Note=Localizes to endoplasmic reticulum-plasma membrane contact sites (EPCS) (PubMed:29469807, PubMed:30220461). Recruited to the cell membrane via the third C2 domain.<br>"
A0JLT2,MED19_HUMAN,MED19,Nucleus<br>
